name,zip_code,city,state_code,address,phone,categories,id,is_close,price,rating,review_number,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19
Avena,10022,New York,NY,141 E 57th St_New York_ NY 10022_,(212) 752-5323,Italian,avena-new-york,FALSE,$$$,5,34,0,0,,,,,,,,,,,,,,,,,
The Shadmoor,10022,New York,NY,1066 2nd Ave_New York_ NY 10022_,(212) 385-9195,seafood;,the-shadmoor-new-york,FALSE,$$,4,32,0,0,,,,,,,,,,,,,,,,,
Shaking Crab,10025,New York,NY,2869 Broadway_New York_ NY 10025_,(646) 861-2152,cajun;,shaking-crab-new-york-4,FALSE,$$,4.5,49,0,0,,,,,,,,,,,,,,,,,
Butcher Bar,10002,New York,NY,146 Orchard St_New York_ NY 10002_,(212) 842-8000,bbq;steak;burgers;,butcher-bar-new-york-2,FALSE,$$,4,59,0,0,,,,,,,,,,,,,,,,,
Clinton Hall,10006,New York,NY,90 Washington St_New York_ NY 10006_,(212) 363-6000,bars;beergardens;,clinton-hall-new-york,FALSE,$$,4,301,0,0,,,,,,,,,,,,,,,,,
Nobody Is Perfect,10009,New York,NY,235 E 4th St_New York_ NY 10009_,(646) 869-1469,Italianbreakfast_brunch;pizza;,nobody-is-perfect-new-york,FALSE,$$,4,38,0,0,,,,,,,,,,,,,,,,,
Out East,10009,New York,NY,509 6th St_New York_ NY 10009_,(212) 509-5096,American_new,out-east-new-york,FALSE,$$$$,4,28,0,0,,,,,,,,,,,,,,,,,
Siena,10128,New York,NY,1580 3rd Ave_New York_ NY 10128_,(212) 410-5588,Italianbars;cafes;,siena-new-york,FALSE,$$,4.5,20,0,0,,,,,,,,,,,,,,,,,
Belle Harlem,10030,New York,NY,2363 Adam Clayton Powell Blvd_New York_ NY 10030_,(347) 819-4076,American_newsouthern;comfortfood;,belle-harlem-new-york,FALSE,$$,5,30,0,0,,,,,,,,,,,,,,,,,
Suffolk Arms,10002,New York,NY,269 Houston St_New York_ NY 10002_,(212) 475-0400,cocktailbars;,suffolk-arms-new-york,FALSE,$$,4.5,57,0,0,,,,,,,,,,,,,,,,,
Bea,10036,New York,NY,403 W 43rd St_New York_ NY 10036_,(212) 602-1910,American_newcocktailbars;,bea-new-york,FALSE,$$,4,1342,0,0,,,,,,,,,,,,,,,,,
Upstate,10003,New York,NY,95 1st Ave_New York_ NY 10003_,(917) 408-3395,seafood;,upstate-new-york-2,FALSE,$$,4.5,1386,0,0,,,,,,,,,,,,,,,,,
The Smith,10022,New York,NY,956 2nd Ave_New York_ NY 10022_,(212) 644-2700,tradamerican;breakfast_brunch;brasseries;,the-smith-new-york-2,FALSE,$$,4,1551,0,0,,,,,,,,,,,,,,,,,
The Milling Room,10024,New York,NY,446 Columbus Ave_New York_ NY 10024_,(212) 595-0380,American_newbars;desserts;,the-milling-room-new-york-2,FALSE,$$$,4,242,0,0,,,,,,,,,,,,,,,,,
Thursday Kitchen,10009,New York,NY,424 E 9th St_New York_ NY 10009_,(646) 755-8088,korean;American_newtapasmallplates;,thursday-kitchen-new-york,FALSE,$$,4.5,460,0,0,,,,,,,,,,,,,,,,,
Babbo,10011,New York,NY,110 Waverly Pl_New York_ NY 10011_,(212) 777-0303,Italianbars;,babbo-new-york,FALSE,$$$$,4,2069,0,0,,,,,,,,,,,,,,,,,
108 Food Dried Hot Pot,10025,New York,NY,2794 Broadway_New York_ NY 10025_,(917) 675-6878,hotpot;chinese;,108-food-dried-hot-pot-new-york-2,FALSE,$$,4,31,0,0,,,,,,,,,,,,,,,,,
Tanner Smiths,10019,New York,NY,204 W 55th St_New York_ NY 10019_,(646) 590-2034,cocktailbars;American_newbreakfast_brunch;,tanner-smiths-new-york-2,FALSE,$$,4.5,683,0,0,,,,,,,,,,,,,,,,,
Burger & Lobster,10011,New York,NY,39 W 19th St_New York_ NY 10011_,(646) 833-7532,seafood;burgers;,burger-and-lobster-new-york,FALSE,$$,4.5,3416,0,0,,,,,,,,,,,,,,,,,
Great Hall Balcony Bar,10028,New York,NY,1000 5th Ave_Metropolitan Museum of Art_New York_ NY 10028_,(212) 535-7710,wine_bars;musicvenues;,great-hall-balcony-bar-new-york,FALSE,$$,4.5,6,0,0,,,,,,,,,,,,,,,,,
Parker & Quinn,10018,New York,NY,64 W 39th St_New York_ NY 10018_,(212) 729-0277,American_newbars;breakfast_brunch;,parker-and-quinn-new-york,FALSE,$$,4,804,0,0,,,,,,,,,,,,,,,,,
Flip'n Toss,10014,New York,NY,82 Christopher St_New York_ NY 10014_,(212) 645-0904,American_new,flipn-toss-new-york,FALSE,$$,5,13,0,0,,,,,,,,,,,,,,,,,
Cookshop,10011,New York,NY,156 10th Ave_New York_ NY 10011_,(212) 924-4440,American_newbreakfast_brunch;wine_bars;,cookshop-new-york,FALSE,$$,4,1618,0,0,,,,,,,,,,,,,,,,,
District Social,10018,New York,NY,252 W 37th St_New York_ NY 10018_,(212) 994-9599,bars;American_new,district-social-new-york,FALSE,$$,4,244,0,0,,,,,,,,,,,,,,,,,
Grazie,10028,New York,NY,26 E 84th St_New York_ NY 10028_,(212) 717-4407,Italian,grazie-new-york-3,FALSE,$$,4,218,0,0,,,,,,,,,,,,,,,,,
Jack's Wife Freda,10012,New York,NY,224 Lafayette St_New York_ NY 10012_,(212) 510-8550,breakfast_brunch;mediterranean;American_new,jacks-wife-freda-new-york,FALSE,$$,4,1215,0,0,,,,,,,,,,,,,,,,,
foreign_name,10011,New York,NY,22 W 8th St_New York_ NY 10011_,(212) 533-2962,french;wine_bars;,error id,FALSE,$$,4.5,1669,0,0,,,,,,,,,,,,,,,,,
The Smith,10010,New York,NY,1150 Broadway_New York_ NY 10010_,(212) 685-4500,American_newbreakfast_brunch;brasseries;,the-smith-new-york-7,FALSE,$$,4,297,0,0,,,,,,,,,,,,,,,,,
Gramercy Tavern,10003,New York,NY,42 E 20th St_New York_ NY 10003_,(212) 477-0777,American_new,gramercy-tavern-new-york,FALSE,$$$$,4.5,2270,0,0,,,,,,,,,,,,,,,,,
Heidi's House By The Side Of The Road,10075,New York,NY,308 E 78th St_New York_ NY 10075_,(212) 249-0069,wine_bars;comfortfood;gluten_free;,heidis-house-by-the-side-of-the-road-new-york-2,FALSE,$$,4.5,488,0,0,,,,,,,,,,,,,,,,,
The Bar Room,10022,New York,NY,117 E 60th St_New York_ NY 10022_,(212) 561-5523,American_newcocktailbars;,the-bar-room-new-york,FALSE,$$,4,316,0,0,,,,,,,,,,,,,,,,,
Vitae,10017,New York,NY,4 E 46th St_New York_ NY 10017_,(212) 682-3562,American_newwine_bars;cocktailbars;,vitae-new-york,FALSE,$$$,4,679,0,0,,,,,,,,,,,,,,,,,
Jane,10012,New York,NY,100 W Houston St_New York_ NY 10012_,(212) 254-7000,tradamerican;modern_european;,jane-new-york-2,FALSE,$$,4,2639,0,0,,,,,,,,,,,,,,,,,
The Crow's Nest,10016,New York,NY,500 E 30th St_Water Club_New York_ NY 10016_,(212) 683-3333,bars;,the-crows-nest-new-york,FALSE,$$,3.5,27,0,0,,,,,,,,,,,,,,,,,
Covina,10016,New York,NY,127 E 27th St_New York_ NY 10016_,(212) 204-0225,American_newbars;cafes;,covina-new-york-3,FALSE,$$$,4.5,172,0,0,,,,,,,,,,,,,,,,,
Friedman's,10001,New York,NY,132 W 31st St_New York_ NY 10001_,(212) 971-9400,American_newgluten_free;breakfast_brunch;,friedmans-new-york-59,FALSE,$$,4,1319,0,0,,,,,,,,,,,,,,,,,
Loring Place,10011,New York,NY,21 W 8th St_New York_ NY 10011_,(212) 388-1831,American_new,loring-place-new-york-2,FALSE,$$$,4.5,103,0,0,,,,,,,,,,,,,,,,,
Trademark Taste & Grind,10018,New York,NY,38 W 36th St_New York_ NY 10018_,(646) 858-2320,bars;American_newvenues;,trademark-taste-and-grind-new-york,FALSE,$$,4.5,212,0,0,,,,,,,,,,,,,,,,,
Dutch Freds,10036,New York,NY,307 W 47th St_New York_ NY 10036_,(646) 918-6923,cocktailbars;tapasmallplates;burgers;,dutch-freds-new-york-2,FALSE,$$,4.5,447,0,0,,,,,,,,,,,,,,,,,
The Modern,10019,New York,NY,9 W 53rd St_New York_ NY 10019_,(212) 333-1220,American_new,the-modern-new-york-3,FALSE,$$$$,4,713,0,0,,,,,,,,,,,,,,,,,
The Sea Fire Grill,10017,New York,NY,158 E 48th St_New York_ NY 10017_,(212) 935-3785,seafood;steak;bars;,the-sea-fire-grill-new-york-3,FALSE,$$$,4.5,607,0,0,,,,,,,,,,,,,,,,,
Momofuku Ko,10003,New York,NY,8 Extra Pl_New York_ NY 10003_,(212) 500-0831,American_new,momofuku-ko-new-york-3,FALSE,$$$$,4.5,169,0,0,,,,,,,,,,,,,,,,,
Ella Kitchen & Bar,10023,New York,NY,249 Columbus Ave_New York_ NY 10023_,(212) 579-9929,tapasmallplates;American_newmediterranean;,ella-kitchen-and-bar-new-york-2,FALSE,$$,4,244,0,0,,,,,,,,,,,,,,,,,
Eastfield's Kitchen & Bar,10075,New York,NY,1479 York Ave_New York_ NY 10075_,(646) 964-4918,American_newcocktailbars;gastropubs;,eastfields-kitchen-and-bar-new-york,FALSE,$$,4,82,0,0,,,,,,,,,,,,,,,,,
Clement,10019,New York,NY,700 Fifth Ave_New York_ NY 10019_,(212) 903-3918,American_newdiners;buffets;,clement-new-york-13,FALSE,$$$,4,97,0,0,,,,,,,,,,,,,,,,,
The Black Derby,10014,New York,NY,310 W 4th St_New York_ NY 10014_,(646) 912-9061,American_new,the-black-derby-new-york,FALSE,$$,4.5,41,0,0,,,,,,,,,,,,,,,,,
Fuji East,10044,New York,NY,455 Main St_New York_ NY 10044_,(212) 583-1688,sushi;,fuji-east-new-york,FALSE,$$,3,99,0,0,,,,,,,,,,,,,,,,,
Juniper,10001,New York,NY,237 W 35th St_New York_ NY 10001_,(212) 967-2511,cocktailbars;American_new,juniper-new-york,FALSE,$$,4,262,0,0,,,,,,,,,,,,,,,,,
The Fat Monk,10025,New York,NY,949 Columbus Ave_New York_ NY 10025_,(212) 837-2334,gastropubs;,the-fat-monk-new-york,FALSE,$$,4,73,0,0,,,,,,,,,,,,,,,,,
Carmine's - Times Square,10036,New York,NY,200 W 44th St_New York_ NY 10036_,(212) 221-3800,Italianvenues;desserts;,carmines-times-square-new-york,FALSE,$$,4,100,0,0,,,,,,,,,,,,,,,,,
Thai Villa,10003,New York,NY,5 E 19th St_G Floor_New York_ NY 10003_,(212) 802-9999,thai;,thai-villa-new-york-2,FALSE,$$,4.5,606,0,0,,,,,,,,,,,,,,,,,
Vanguard Wine Bar,10023,New York,NY,189 Amsterdam Ave_New York_ NY 10023_,(212) 799-9463,wine_bars;,vanguard-wine-bar-new-york-2,FALSE,$$,4.5,117,0,0,,,,,,,,,,,,,,,,,
Chart House,7086,Weehawken,NJ,Lincoln Harbor Pier D-T_Lincoln Harbor_ Pier D-T_Weehawken_ NJ 07086_,(201) 348-6628,seafood;steak;bars;,chart-house-weehawken,FALSE,$$$,4,929,0,0,,,,,,,,,,,,,,,,,
Barn Joo 35,10001,New York,NY,34 W 35th St_New York_ NY 10001_,(212) 564-4430,korean;gastropubs;tapasmallplates;,barn-joo-35-new-york,FALSE,$$,4.5,505,0,0,,,,,,,,,,,,,,,,,
ABC Kitchen,10003,New York,NY,35 E 18th St_New York_ NY 10003_,(212) 475-5829,American_newfrench;,abc-kitchen-new-york,FALSE,$$$,4,2441,0,0,,,,,,,,,,,,,,,,,
Coarse NYC,10014,New York,NY,306 W 13th St_New York_ NY 10014_,(646) 896-1404,American_new,coarse-nyc-new-york,FALSE,$$$,4.5,61,0,0,,,,,,,,,,,,,,,,,
Trattoria Trecolori,10036,New York,NY,254 W 47th St_New York_ NY 10036_,(212) 997-4540,Italian,trattoria-trecolori-new-york,FALSE,$$,4,1504,0,0,,,,,,,,,,,,,,,,,
Lilly's Craft and Kitchen,10036,New York,NY,675 9th Ave_New York_ NY 10036_,(212) 757-0373,American_newcocktailbars;breakfast_brunch;,lillys-craft-and-kitchen-new-york,FALSE,$$,4,118,0,0,0,,,,,,,,,,,,,,,,
The Marshal,10036,New York,NY,628 10th Ave_New York_ NY 10036_,(212) 582-6300,American_newbreakfast_brunch;tradamerican;,the-marshal-new-york,FALSE,$$,4,542,,,,,,,,,,,,,,,,,,,
Upland,10010,New York,NY,345 Park Ave S_New York_ NY 10010_,(212) 686-1006,American_new,upland-new-york,FALSE,$$$,4,594,,,,,,,,,,,,,,,,,,,
HAVEN Riverfront Restaurant and Bar,7020,Edgewater,NJ,2 Main St_Ste G_Edgewater_ NJ 07020_,(201) 943-1900,American_newseafood;bars;,haven-riverfront-restaurant-and-bar-edgewater-2,FALSE,$$$,4,456,,,,,,,,,,,,,,,,,,,
Albion,10016,New York,NY,575 2nd Ave_New York_ NY 10016_,(212) 679-6716,sportsbars;pubs;beerbar;,albion-new-york-2,FALSE,$,4.5,78,,,,,,,,,,,,,,,,,,,
Hudson Hound,10014,New York,NY,575 Hudson St_New York_ NY 10014_,(646) 638-2900,irish_pubs;breakfast_brunch;,hudson-hound-new-york,FALSE,$$,4.5,58,,,,,,,,,,,,,,,,,,,
B2 Harlem,10026,New York,NY,271 W 119th St_New York_ NY 10026_,(212) 280-2248,seafood;wine_bars;breakfast_brunch;,b2-harlem-new-york,FALSE,$$,4.5,92,,,,,,,,,,,,,,,,,,,
Daniel,10065,New York,NY,60 E 65th St._New York_ NY 10065_,(212) 288-0033,french;tradamerican;cocktailbars;,daniel-new-york-4,FALSE,$$$$,4.5,1270,,,,,,,,,,,,,,,,,,,
Chop Chop Grub Shop,11105,Astoria,NY,3507 Ditmars Blvd_Astoria_ NY 11105_,(718) 777-0191,American_new,chop-chop-grub-shop-astoria,FALSE,$$,5,19,,,,,,,,,,,,,,,,,,,
Westville Chelsea,10011,New York,NY,246 W 18th St_New York_ NY 10011_,(212) 924-2223,American_newbreakfast_brunch;,westville-chelsea-new-york-2,FALSE,$$,4,895,,,,,,,,,,,,,,,,,,,
U-gu,11205,Brooklyn,NY,541 Myrtle Ave_Brooklyn_ NY 11205_,(718) 857-0222,sushi;Japanesedesserts;,u-gu-brooklyn-2,FALSE,$$,5,26,,,,,,,,,,,,,,,,,,,
Trouble's Trust,10022,New York,NY,455 Madison Ave_New York_ NY 10022_,(212) 888-7000,cocktailbars;,troubles-trust-new-york,FALSE,$$$,4,16,,,,,,,,,,,,,,,,,,,
Uva,10075,New York,NY,1486 2nd Ave_New York_ NY 10075_,(212) 472-4552,Italianbars;breakfast_brunch;,uva-new-york,FALSE,$$,4,1814,,,,,,,,,,,,,,,,,,,
East Sake Bar,10001,New York,NY,43 W 32nd St_New York_ NY 10001_,,Japanesebars;,east-sake-bar-new-york,FALSE,$$,4.5,11,,,,,,,,,,,,,,,,,,,
Rancho Mateo,7047,North Bergen,NJ,9011 Palisade Ave_North Bergen_ NJ 07047_,(201) 758-5400,colombian;,rancho-mateo-north-bergen,FALSE,$$,4,25,,,,,,,,,,,,,,,,,,,
Momofuku Nishi,10011,New York,NY,232 8th Ave_New York_ NY 10011_,(646) 518-1919,korean;ItalianAmerican_new,momofuku-nishi-new-york,FALSE,$$,3.5,296,,,,,,,,,,,,,,,,,,,
The Wayland,10009,New York,NY,700 E 9th St_New York_ NY 10009_,(212) 777-7022,bars;,the-wayland-new-york,FALSE,$$,4.5,415,,,,,,,,,,,,,,,,,,,
Amali,10022,New York,NY,115 E 60th St_New York_ NY 10022_,(212) 339-8363,mediterranean;,amali-new-york-3,FALSE,$$$,4,277,,,,,,,,,,,,,,,,,,,
Ichabod's,10003,New York,NY,15 Irving Pl_New York_ NY 10003_,(212) 777-5102,American_newbreakfast_brunch;,ichabods-new-york,FALSE,$$,4,477,,,,,,,,,,,,,,,,,,,
The Craftsman,10027,New York,NY,3155 Broadway_New York_ NY 10027_,(212) 933-0602,bars;sandwiches;,the-craftsman-new-york-2,FALSE,$$,4,30,,,,,,,,,,,,,,,,,,,
Mercato,10018,New York,NY,352 W 39th St_New York_ NY 10018_,(212) 643-2000,Italiancocktailbars;desserts;,mercato-new-york,FALSE,$$,4,605,,,,,,,,,,,,,,,,,,,
Mr. Jones Supper Club,10014,New York,NY,Jones St_New York_ NY 10014_,,australian;seafood;asianfusion;,mr-jones-supper-club-new-york,FALSE,$$,5,13,,,,,,,,,,,,,,,,,,,
Friedman's,10027,New York,NY,1187 Amsterdam Ave_New York_ NY 10027_,(212) 932-0600,breakfast_brunch;gluten_free;American_new,friedmans-new-york-62,FALSE,$$,4,206,,,,,,,,,,,,,,,,,,,
Hillstone Restaurant,10022,New York,NY,153 E 53rd St_New York_ NY 10022_,(212) 888-3828,jazzandblues;American_newsushi;,hillstone-restaurant-new-york-3,FALSE,$$$,4,862,,,,,,,,,,,,,,,,,,,
Perrine,10065,New York,NY,2 E 61st St_New York_ NY 10065_,(212) 940-8195,American_newfrench;,perrine-new-york-2,FALSE,$$$,4,19,,,,,,,,,,,,,,,,,,,
Dinnertable,10009,New York,NY,206 Ave A_New York_ NY 10009_,,cocktailbars;Japaneseasianfusion;,dinnertable-new-york,FALSE,$$$,4.5,88,,,,,,,,,,,,,,,,,,,
Flat Top,10027,New York,NY,1241 Amsterdam Ave_New York_ NY 10027_,(646) 820-7735,American_newcafes;breakfast_brunch;,flat-top-new-york,FALSE,$$,4,314,,,,,,,,,,,,,,,,,,,
Park Avenue Tavern,10016,New York,NY,99 Park Ave_New York_ NY 10016_,(212) 867-4484,bars;tradamerican;,park-avenue-tavern-new-york,FALSE,$$,4,508,,,,,,,,,,,,,,,,,,,
Miramar,10280,New York,NY,21 S End Ave_New York_ NY 10280_,(212) 964-3000,seafood;mediterranean;,miramar-new-york-2,FALSE,$$,4,94,,,,,,,,,,,,,,,,,,,
Ocean Prime,10019,New York,NY,123 W 52nd St_New York_ NY 10019_,(212) 956-1404,seafood;steak;American_new,ocean-prime-new-york,FALSE,$$$,4,182,,,,,,,,,,,,,,,,,,,
High Street On Hudson,10014,New York,NY,637 Hudson St_New York_ NY 10014_,(917) 388-3944,American_newbreakfast_brunch;cocktailbars;,high-street-on-hudson-new-york,FALSE,$$,4,201,,,,,,,,,,,,,,,,,,,
Amused,10024,New York,NY,142 W 83rd St_New York_ NY 10024_,(347) 298-8200,American_newsandwiches;cocktailbars;,amused-new-york,FALSE,$$,4,27,,,,,,,,,,,,,,,,,,,
Le Bernardin,10019,New York,NY,155 W 51st St_The Equitable Bldg_New York_ NY 10019_,(212) 554-1515,french;lounges;,le-bernardin-new-york,FALSE,$$$$,4.5,1931,,,,,,,,,,,,,,,,,,,
Up Thai,10021,New York,NY,1411 2nd Ave_New York_ NY 10021_,(212) 256-1188,thai;,up-thai-new-york,FALSE,$$,4.5,1287,,,,,,,,,,,,,,,,,,,
Cask Bar & Kitchen,10016,New York,NY,167 E 33rd St_New York_ NY 10016_,(212) 300-4924,American_newcocktailbars;breakfast_brunch;,cask-bar-and-kitchen-new-york,FALSE,$$,4,1108,,,,,,,,,,,,,,,,,,,
Boulud Sud,10023,New York,NY,20 West 64th Street_New York_ NY 10023_,(212) 595-1313,mediterranean;,boulud-sud-new-york,FALSE,$$$,4,528,,,,,,,,,,,,,,,,,,,
Joe's Shanghai,10013,New York,NY,9 Pell St_New York_ NY 10013_,(212) 233-8888,shanghainese;desserts;seafood;,joes-shanghai-new-york-2,FALSE,$$,4,4429,,,,,,,,,,,,,,,,,,,
The Cliff,7307,Jersey City,NJ,38 Congress St_Jersey City_ NJ 07307_,(201) 626-4046,cafes;breakfast_brunch;vegetarian;,the-cliff-jersey-city,FALSE,$$,4.5,29,,,,,,,,,,,,,,,,,,,
Ipanema Restaurant,10036,New York,NY,43 W 46th St_New York_ NY 10036_,(212) 730-5848,brazilian;latin;portuguese;,ipanema-restaurant-new-york,FALSE,$$,4,807,,,,,,,,,,,,,,,,,,,
Whitman & Bloom,10016,New York,NY,384 3rd Ave_New York_ NY 10016_,(212) 725-4110,American_newbars;,whitman-and-bloom-new-york,FALSE,$$,4,375,,,,,,,,,,,,,,,,,,,
33 Greenwich,10014,New York,NY,33 Greenwich Ave_New York_ NY 10014_,(646) 609-3615,American_newsouthern;,33-greenwich-new-york-4,FALSE,$$$,4.5,45,,,,,,,,,,,,,,,,,,,
